Serving HTTP on 0.0.0.0 port 9011 (http://0.0.0.0:9011/) ...
  File "/home/Glitterccc/miniconda3/envs/chatdku/lib/python3.10/socketserver.py", line 747, in __init__
    self.handle()
  File "/home/Glitterccc/miniconda3/envs/chatdku/lib/python3.10/http/server.py", line 433, in handle
    self.handle_one_request()
  File "/home/Glitterccc/miniconda3/envs/chatdku/lib/python3.10/http/server.py", line 401, in handle_one_request
    self.raw_requestline = self.rfile.readline(65537)
  File "/home/Glitterccc/miniconda3/envs/chatdku/lib/python3.10/socket.py", line 705, in readinto
    return self._sock.recv_into(b)
ConnectionResetError: [Errno 104] Connection reset by peer
----------------------------------------
10.200.14.175 - - [12/Nov/2024 18:41:46] code 404, message File not found
10.200.14.175 - - [12/Nov/2024 18:41:46] "GET /favicon2.iso HTTP/1.1" 404 -
10.200.14.175 - - [12/Nov/2024 18:41:46] code 404, message File not found
10.200.14.175 - - [12/Nov/2024 18:41:46] "GET /favicon.iso HTTP/1.1" 404 -
10.200.14.175 - - [12/Nov/2024 18:41:53] "GET / HTTP/1.1" 200 -
10.200.14.175 - - [12/Nov/2024 18:41:56] "GET / HTTP/1.1" 200 -
10.200.14.175 - - [12/Nov/2024 18:41:56] "GET / HTTP/1.1" 200 -
10.200.14.175 - - [12/Nov/2024 18:42:04] "GET / HTTP/1.1" 200 -
10.200.14.175 - - [12/Nov/2024 18:42:06] code 404, message File not found
10.200.14.175 - - [12/Nov/2024 18:42:06] "GET /aboutprinter.html HTTP/1.1" 404 -
10.200.14.175 - - [12/Nov/2024 18:42:06] code 404, message File not found
